input,voting_scheme,happiness_measure,happiness_values,risk_measure,risk_values
"[['B' 'D' 'D' 'A' 'B']
 ['A' 'C' 'A' 'B' 'D']
 ['E' 'B' 'E' 'D' 'A']
 ['C' 'E' 'C' 'E' 'C']
 ['D' 'A' 'B' 'C' 'E']]",Anti-plurality voting,NDCG,"[0.8174935137996165, 0.3424985031845269, 0.39748952229168844, 0.894999002123018, 0.7350069851388743]",Winner change risk,1.0
"[['C' 'E' 'D' 'D' 'A']
 ['A' 'A' 'B' 'B' 'C']
 ['B' 'C' 'E' 'E' 'E']
 ['E' 'B' 'A' 'A' 'B']
 ['D' 'D' 'C' 'C' 'D']]",Anti-plurality voting,NDCG,"[0.6074915180456525, 0.6074915180456525, 0.36999401273810767, 0.36999401273810767, 0.7350069851388743]",Winner change risk,1.0
"[['E' 'B' 'B' 'D' 'B']
 ['C' 'E' 'A' 'C' 'D']
 ['A' 'A' 'E' 'E' 'C']
 ['B' 'C' 'D' 'A' 'E']
 ['D' 'D' 'C' 'B' 'A']]",Anti-plurality voting,NDCG,"[0.8400079830158563, 0.8174935137996165, 0.7899980042460358, 0.31500299363094614, 0.21000199575396408]",Winner change risk,1.0
"[['C' 'D' 'A' 'E' 'C' 'A' 'B' 'C' 'E' 'B' 'B' 'D' 'C' 'A' 'A' 'E' 'B' 'E'
  'D' 'B']
 ['B' 'E' 'D' 'D' 'A' 'D' 'C' 'D' 'D' 'D' 'E' 'E' 'A' 'C' 'B' 'C' 'E' 'D'
  'B' 'C']
 ['A' 'C' 'E' 'B' 'B' 'B' 'E' 'B' 'A' 'C' 'D' 'B' 'E' 'B' 'C' 'D' 'C' 'C'
  'A' 'E']
 ['E' 'B' 'C' 'C' 'D' 'C' 'D' 'A' 'C' 'A' 'C' 'C' 'B' 'E' 'D' 'A' 'D' 'A'
  'E' 'A']
 ['D' 'A' 'B' 'A' 'E' 'E' 'A' 'E' 'B' 'E' 'A' 'A' 'D' 'D' 'E' 'B' 'A' 'B'
  'C' 'D']]",Anti-plurality voting,NDCG,"[0.894999002123018, 0.5250049893849101, 0.13249650743056282, 0.3424985031845269, 0.8400079830158563, 0.3424985031845269, 0.8174935137996165, 0.9725044904464192, 0.13249650743056282, 0.8675034925694372, 0.5250049893849101, 0.42000399150792816, 0.6300059872618923, 0.6074915180456525, 0.5799960084920718, 0.5024905201686705, 0.7350069851388743, 0.447499501061509, 0.4749950106150897, 0.8174935137996165]",Winner change risk,0.0
"[['C' 'D' 'E' 'B' 'E' 'E' 'C' 'D' 'D' 'A' 'C' 'B' 'B' 'B' 'C' 'E' 'D' 'C'
  'A' 'A']
 ['D' 'B' 'B' 'E' 'B' 'A' 'D' 'E' 'A' 'E' 'B' 'A' 'D' 'C' 'B' 'A' 'E' 'B'
  'D' 'B']
 ['E' 'A' 'D' 'C' 'C' 'B' 'A' 'B' 'B' 'D' 'E' 'D' 'E' 'E' 'A' 'C' 'A' 'D'
  'E' 'D']
 ['B' 'C' 'A' 'D' 'A' 'D' 'E' 'A' 'C' 'B' 'D' 'C' 'A' 'D' 'E' 'B' 'C' 'E'
  'B' 'E']
 ['A' 'E' 'C' 'A' 'D' 'C' 'B' 'C' 'E' 'C' 'A' 'E' 'C' 'A' 'D' 'D' 'B' 'A'
  'C' 'C']]",Anti-plurality voting,NDCG,"[0.36999401273810767, 0.8174935137996165, 0.8174935137996165, 0.7625024946924551, 0.6074915180456525, 0.5250049893849101, 0.26499301486112564, 0.8675034925694372, 0.7350069851388743, 0.3424985031845269, 0.5024905201686705, 0.8400079830158563, 1.0, 0.7350069851388743, 0.39748952229168844, 0.21000199575396408, 0.5525004989384911, 0.6074915180456525, 0.36999401273810767, 0.6074915180456525]",Winner change risk,0.0
"[['C' 'A' 'A' 'D' 'B' 'A' 'E' 'D' 'D' 'B' 'E' 'D' 'E' 'B' 'D' 'B' 'E' 'B'
  'E' 'E']
 ['B' 'D' 'B' 'E' 'A' 'B' 'A' 'E' 'A' 'E' 'D' 'B' 'B' 'D' 'C' 'E' 'A' 'A'
  'D' 'B']
 ['D' 'E' 'E' 'C' 'E' 'C' 'C' 'B' 'E' 'C' 'C' 'C' 'C' 'A' 'E' 'A' 'B' 'C'
  'A' 'C']
 ['A' 'C' 'D' 'B' 'D' 'E' 'D' 'A' 'C' 'D' 'B' 'A' 'A' 'E' 'B' 'D' 'C' 'D'
  'C' 'D']
 ['E' 'B' 'C' 'A' 'C' 'D' 'B' 'C' 'B' 'A' 'A' 'E' 'D' 'C' 'A' 'C' 'D' 'E'
  'B' 'A']]",Anti-plurality voting,NDCG,"[0.447499501061509, 0.6074915180456525, 0.3424985031845269, 0.894999002123018, 0.42000399150792816, 0.13249650743056282, 0.42000399150792816, 1.0, 0.8400079830158563, 0.4749950106150897, 0.8174935137996165, 0.7625024946924551, 0.5525004989384911, 0.6074915180456525, 0.8400079830158563, 0.4749950106150897, 0.5250049893849101, 0.21000199575396408, 0.8174935137996165, 0.5525004989384911]",Winner change risk,1.0
"[['E' 'C' 'B' 'D' 'D' 'A' 'E' 'C' 'C' 'C']
 ['C' 'E' 'A' 'E' 'A' 'D' 'C' 'A' 'A' 'E']
 ['D' 'D' 'D' 'B' 'B' 'E' 'B' 'D' 'E' 'A']
 ['A' 'B' 'C' 'A' 'E' 'C' 'A' 'E' 'D' 'D']
 ['B' 'A' 'E' 'C' 'C' 'B' 'D' 'B' 'B' 'B']]",Anti-plurality voting,NDCG,"[0.42000399150792816, 0.3424985031845269, 0.6074915180456525, 0.5525004989384911, 0.8174935137996165, 1.0, 0.21000199575396408, 0.6074915180456525, 0.5024905201686705, 0.447499501061509]",Winner change risk,1.0
"[['A' 'C' 'D' 'A' 'B' 'E' 'A' 'A' 'A' 'C']
 ['C' 'A' 'B' 'B' 'C' 'B' 'B' 'B' 'E' 'B']
 ['B' 'E' 'C' 'D' 'E' 'D' 'E' 'C' 'B' 'D']
 ['D' 'B' 'E' 'E' 'D' 'A' 'D' 'E' 'D' 'E']
 ['E' 'D' 'A' 'C' 'A' 'C' 'C' 'D' 'C' 'A']]",Anti-plurality voting,NDCG,"[0.31500299363094614, 0.21000199575396408, 0.6074915180456525, 0.5024905201686705, 0.8400079830158563, 0.9224945116765986, 0.6074915180456525, 0.39748952229168844, 0.5799960084920718, 0.5024905201686705]",Winner change risk,0.0
"[['A' 'B' 'A' 'A' 'D' 'C' 'C' 'A' 'B' 'D']
 ['C' 'D' 'E' 'B' 'B' 'B' 'D' 'E' 'E' 'C']
 ['E' 'E' 'D' 'C' 'A' 'A' 'B' 'D' 'C' 'B']
 ['D' 'A' 'C' 'E' 'C' 'E' 'A' 'C' 'A' 'A']
 ['B' 'C' 'B' 'D' 'E' 'D' 'E' 'B' 'D' 'E']]",Anti-plurality voting,NDCG,"[0.894999002123018, 0.21000199575396408, 0.6300059872618923, 0.9725044904464192, 0.447499501061509, 0.8675034925694372, 0.5250049893849101, 0.6300059872618923, 0.42000399150792816, 0.36999401273810767]",Winner change risk,0.0
"[['C' 'A' 'C' 'B' 'B']
 ['A' 'B' 'B' 'A' 'C']
 ['B' 'C' 'A' 'C' 'A']]",Anti-plurality voting,NDCG,"[0.23981246656813146, 0.8597186998521972, 0.4796249331362629, 1.0, 0.7601875334318685]",Winner change risk,0.0
